forecast_date,actual,rolling_252,rolling_504,rolling_756,rolling_1008,expanding,adaptive
2026-05-01,0.0083052948456411591,0.0069717745475565435,0.0076694340772066761,0.0075302284405921122,0.0079835249605969688,0.0078562577561669244,0.0076694340772066761
2026-05-04,0.00820481985165325,0.0079213222488005858,0.009093058518478192,0.0088317198523014256,0.0090024214564961205,0.0092463468960869676,0.009093058518478192
2026-05-05,0.0074168762183309846,0.0066138281714911585,0.0071180341463375789,0.0070476570750623762,0.0077558029347634143,0.007709155634818235,0.0071180341463375789
2026-05-06,0.0048090832803552317,0.0076412558609417159,0.0079435330847700877,0.0078009868415866036,0.0084595272757116251,0.010267585554398259,0.0079435330847700877
2026-05-07,0.0057972133096857864,0.0070323312434332009,0.0077216565218321525,0.00752592188975918,0.0076300528324276216,0.0071452309617741801,0.0077216565218321525
2026-05-08,0.0070270766709825926,0.0061655061978525428,0.0063078522019500679,0.0062618979775689396,0.0068554445303023997,0.0065177346068543088,0.0063078522019500679
2026-05-11,0.0069601552113406377,0.0069800330932534857,0.0074698435480411978,0.0073114680550539473,0.0076000446651857427,0.0075894607467057156,0.0074698435480411978
2026-05-12,0.007544317942236152,0.0078849247723162957,0.0086610039469274952,0.0083948866375756145,0.0084386925425139446,0.0090719302510487623,0.0086610039469274952
2026-05-13,0.0084549515693237744,0.0064593350651956745,0.0066602283136884717,0.0065649477160581275,0.0069770003635182629,0.0067659349679206034,0.0066602283136884717
2026-05-14,0.0077398206072025145,0.0057701094776554523,0.0057555521133891884,0.0057373817069963796,0.0063035084939343129,0.0055549220433024574,0.0057555521133891884
2026-05-15,0.0058044020481240232,0.0091257543696599101,0.010637906154598389,0.010201616708115365,0.009829103618751606,0.010703449618261737,0.010637906154598389
2026-05-18,0.0065075478546710403,0.0066654011865176542,0.0072297823847636243,0.0070841867636751744,0.0073286209870951878,0.0066512091220517497,0.0072297823847636243
2026-05-19,0.0057811328823164981,0.0078461571836140713,0.0088784421357300022,0.0085899001341256994,0.0085180234653567527,0.0085380629309892708,0.0088784421357300022
2026-05-20,0.0043219844982135937,0.0074179008893257344,0.0078499820868289938,0.0077090516632521899,0.0083020271219977418,0.0094715644397636526,0.0078499820868289938
2026-05-21,0.0043741185748674971,0.0064469987237383156,0.0068496578850946264,0.0067388106494493342,0.007081967027233774,0.0064460374967172732,0.0068496578850946264
2026-05-22,0.0041872006112046419,0.0062738472949788859,0.0065527850382588815,0.0064682122588956108,0.0068820704856797331,0.0062619601494073186,0.0065527850382588815
2026-05-26,0.0030240367347176937,0.0070586459087441959,0.0074676540801907124,0.00733243525347794,0.0077945815736717924,0.0082638575395739093,0.0074676540801907124
2026-05-27,0.0043653771754081768,0.0074207811768938585,0.0080757222682490484,0.0078615019269578663,0.0080136139370112457,0.0082536806939866071,0.0080757222682490484
2026-05-28,0.0039809970553306125,0.0059102625330220235,0.0060256761428442232,0.0059815571802931591,0.0064653076980582674,0.005624023024399424,0.0060256761428442232
2026-05-29,0.012302702252839052,0.0064068188694092875,0.006685440864909185,0.0065746867030087369,0.0068754764735148056,0.0063131588169100805,0.006685440864909185
2026-06-01,0.012284153236205317,0.0072697956825233858,0.0079422269236866863,0.0077885840331316965,0.0078403788592768895,0.008808487343870788,0.0079422269236866863
2026-06-02,0.012339390881767482,0.00603984408941762,0.0065019632829302568,0.0063256314389530457,0.0065921491519390701,0.0057537244839992174,0.0065019632829302568
