forecast_date,actual,rolling_252,rolling_504,rolling_756,rolling_1008,expanding
2019-02-08,0.0077002984166793641,0.0061147232426479242,0.0059900890971385061,0.0059261476391739148,0.0060551204176254271,0.0060551204176254271
2019-02-11,0.0077350513958928096,0.0067224814700107324,0.006411035585617072,0.0062495117928438731,0.0064001933209024394,0.0064001933209024394
2019-02-12,0.0052905888025344744,0.0064225715017893004,0.0056129107902347366,0.0054241427602560585,0.0055878918146998226,0.0055878918146998226
2019-02-13,0.0053316671226125312,0.0070842400829537449,0.0064560179131905315,0.0062113188366378427,0.0063854545485587996,0.0063854545485587996
2019-02-14,0.005922952028025898,0.0068321572924045894,0.0066012287781656723,0.0064370717903741506,0.0065878225200296341,0.0065878225200296341
2019-02-15,0.0034579712668912355,0.0063469924809576618,0.0056603990685137086,0.0054965273202410387,0.0056535778463948985,0.0056535778463948985
2019-02-19,0.0033855550452981599,0.0064771534450812646,0.0060959600286493651,0.005957508173228339,0.0061095707987411886,0.0061095707987411886
2019-02-20,0.0032692828585520989,0.0063072863627380562,0.0056855975625984684,0.0055434136618730959,0.005713543220810963,0.005713543220810963
2019-02-21,0.0029740566088762186,0.0063695633339539417,0.0060598319465391005,0.0059486542002988628,0.0061051968541236609,0.0061051968541236609
2019-02-22,0.002991990251004841,0.0048015207554206723,0.0045658594729074669,0.0046545675898177,0.0047719417835523394,0.0047719417835523394
2019-02-25,0.0033522594980754934,0.008537458899475386,0.0071579780605880638,0.0066481154435514573,0.0069001034175092974,0.0069001034175092974
2019-02-26,0.0033920032869090297,0.0059399667740419456,0.0054943585510546077,0.0054212630588120498,0.0055796846250063805,0.0055796846250063805
2019-02-27,0.0043417809503290931,0.0077917734128495706,0.0066504947922835494,0.0062641766989546552,0.0064943330811849057,0.0064943330811849057
2019-02-28,0.0056806393352069511,0.0060990580576010308,0.005433974042458929,0.0053183999444458441,0.0054987642082524723,0.0054987642082524723
2019-03-01,0.0050322863368935647,0.0067222611476218507,0.0056985025419982391,0.0053193618076636416,0.0056500726815612873,0.005569367572557756
2019-03-04,0.00800783136638533,0.0062345480687003626,0.0058907816164968088,0.0056869588683971786,0.0058954558352272163,0.00587923540252376
2019-03-05,0.0081601798533060179,0.0052174503936245967,0.0050372991835575384,0.0049864405662831211,0.0051577070045867365,0.0051561077221278766
2019-03-06,0.0082407966966542932,0.0065135950495684644,0.0062299500097941808,0.0060020506427088931,0.0062027271633619081,0.0061922761853922407
2019-03-07,0.007340245540127955,0.0074931569614758485,0.0071162943312074066,0.0067528454101507367,0.0069799808268139057,0.006959166194279459
2019-03-08,0.0076114960142549173,0.0058298457097502839,0.005522223134717251,0.0053745243294993882,0.0055735780358804055,0.005559931802159997
2019-03-11,0.0043700591530347558,0.0056576255926623683,0.0047513291800681291,0.0045271254848282009,0.0048363115055153382,0.0047546163447211472
2019-03-12,0.0040343722027249901,0.0045980978723178254,0.0045543432811692257,0.0046064793050265875,0.0047561351607848168,0.0047567230625746443
2019-03-13,0.003064122796747028,0.0057458573615804566,0.0051112967224731815,0.004920329630651879,0.0051791005844553459,0.0051290092495868463
2019-03-14,0.0058766944335548943,0.0055558409657740478,0.0053455794205658829,0.0052495323215295403,0.0054322145605448019,0.0054236070066655167
2019-03-15,0.01025717143927932,0.0052659176967539377,0.0048604242163505515,0.00476739701564452,0.0049822894053463459,0.0049535572365382386
2019-03-18,0.01013425545213548,0.0050767198897486432,0.0047011298547104813,0.0046350349842775957,0.0048401494805889837,0.0048181352958947326
2019-03-19,0.010664016846150006,0.0047646685670878087,0.0046544174264660388,0.0046715985331766451,0.004827710569991029,0.0048310882480338173
2019-03-20,0.010835188541363972,0.0065413315959132589,0.0060799404622356758,0.0058184669866428139,0.0060501636136060955,0.0060228379514197152
2019-03-21,0.009748606743510654,0.0055491134781053223,0.0047464650999429116,0.0045516819512183872,0.0048388366547677513,0.0047712070323750423
2019-03-22,0.0052349954146710181,0.011750120399775174,0.01099794326428288,0.010050157658954671,0.010386456643756158,0.01032434780427193
2019-03-25,0.0074223716212617648,0.005873214539185663,0.0059335330997148912,0.0058495822460204747,0.0059989937495697051,0.00600154887015258
2019-03-26,0.0066414663659693281,0.0062598506377268773,0.0058276948041927753,0.0056136476444013893,0.0058538970523382963,0.0058069841778974375
2019-03-27,0.0062535004360754895,0.007384081534917087,0.007283709698089752,0.0069868261269691156,0.0071779340691535869,0.0071657041410833526
2019-03-28,0.0061358097696594281,0.0068442101896692862,0.006451312705407556,0.006172051704002683,0.0064107359151506019,0.0063679293090733117
2019-03-29,0.0058659346522270221,0.0058949628559410317,0.0056601062002146979,0.005524895254771056,0.0057286977485537698,0.0056989585753502332
2019-04-01,0.0025933843658943506,0.0074397996444822874,0.0066781229529680681,0.0063366150556156261,0.0065551265668984263,0.0064675992132535755
2019-04-02,0.0034579663504052355,0.0068870883776219151,0.0067440076493213846,0.0065155644148320348,0.0066504194587565877,0.0066619340164947253
2019-04-03,0.0037124386893982279,0.0065354331401766431,0.0063856367310565366,0.006202937776580787,0.0063296175843603215,0.0063461301688851014
2019-04-04,0.0035203841806135056,0.0058957596069747686,0.0057707139991994543,0.0056723237152759192,0.0057805773110272043,0.0058115969830907672
2019-04-05,0.0041017522121893253,0.0061009811799460825,0.0058271866400544398,0.0056885726897690113,0.005820400784886849,0.0058265312272002493
2019-04-08,0.0040980485100324884,0.0066494112591053249,0.0063648129772274301,0.0061245584643205651,0.0062847788330296969,0.0062812934224222364
2019-04-09,0.0034058820638179881,0.0068217923308764705,0.0067932800296721949,0.0065456580094418754,0.0066821157754177844,0.0067128839798375377
2019-04-10,0.0032375265706726872,0.0055474477804459566,0.0053839861548869638,0.00531883083956895,0.0054271428579722395,0.0054589459352294041
2019-04-11,0.0033526564905099442,0.0062375418894994213,0.006096896319644495,0.0059286648650805299,0.0060583228640958033,0.0060823233095587577
2019-04-12,0.0015149040518074653,0.0054901250295560332,0.0051967021894188271,0.0051356816698954165,0.0052548223025289161,0.0052685395582469626
2019-04-15,0.0042704924305221109,0.0057504444284706422,0.0057360020307563198,0.0056494693775343292,0.0057482133321396503,0.0057983627102916185
2019-04-16,0.0043747927906021312,0.0074530814201575644,0.0070289006919720363,0.0066654083799990872,0.0068656703336063152,0.0068286813528373918
2019-04-17,0.0042442884905139165,0.0064479253173453108,0.0063675732171759314,0.0061719447881315613,0.0063018614128860107,0.0063311901987004073
2019-04-18,0.0046429034674027982,0.0053964811404791481,0.0052731365983118396,0.0052200248089507885,0.0053247577464458221,0.0053653933950166093
2019-04-22,0.004679629651460503,0.0061972862915079165,0.0056331751092572342,0.0053632850929644137,0.0055758928282148342,0.0055426629874092215
2019-04-23,0.0024337267113834654,0.0043647338803034239,0.0038481519929303718,0.0038646532578353121,0.0040058434233915339,0.0040087591233028373
2019-04-24,0.0040399432661067901,0.0057385653452763901,0.0054344993434037835,0.0052527371557120252,0.0054194476238724858,0.0054312222286364833
2019-04-25,0.0041447631413309904,0.0048070579719354011,0.0045792653291595372,0.0045318189043136222,0.0046630850851852729,0.0047014268301275759
2019-04-26,0.005642359164900892,0.0064104622904335882,0.0056194064816864255,0.0053032463405601011,0.0055483784758524257,0.0054787859974492949
2019-04-29,0.0058946280343362299,0.0049507668924184756,0.0045816960525776312,0.0045025269421882941,0.0046549950400173994,0.0046705777621457532
2019-04-30,0.0095611541441491359,0.0044293652663991382,0.0041052082779583568,0.0040817709630040933,0.0042231299258595686,0.0042547611581510315
2019-05-01,0.0089675317247097149,0.0051722721790140912,0.0052096851622061551,0.0050699262644205807,0.0052055657036239253,0.0052563277077008995
2019-05-02,0.0090177344066748096,0.0059471391117995025,0.0057774661265240328,0.0055185555635197522,0.0057832654271174214,0.005674716062956932
2019-05-03,0.008207765895378541,0.0036633348315544189,0.0035644081620971471,0.0036157450255202834,0.0037686964987107361,0.0037590350138867129
2019-05-06,0.013911140329309417,0.0062942326689895221,0.0061577526598189086,0.0058747999035611278,0.0061196220862859332,0.0060356537929343035
2019-05-07,0.012369694007375738,0.0090876292321842595,0.0089646397723550306,0.0083753737259927748,0.0086573760645572533,0.0085524094611578137
2019-05-08,0.012627131448940537,0.0057680271083995135,0.0057335846612810125,0.0055699481408451931,0.0057149990212563085,0.0057324036244007807
2019-05-09,0.013213808285468689,0.0061586910895219098,0.0061080229783941993,0.0058927239769971575,0.0060576405811020497,0.0060561169004325396
2019-05-10,0.013341549845811158,0.0046735971439549476,0.0046500757420257412,0.0046288225154886339,0.0047352075038754526,0.0047820470240572972
