feature,mae_increase_mean,mae_increase_std
spy_volatility_20d,0.0006242772901366182,7.758599826947592e-05
spy_return,0.00014325690933518636,4.326955741934501e-05
cross_asset_dispersion,-5.466760286510991e-06,1.158599697815473e-05
